name,description
Warding Candle,"You can light this candle to fill an area within Close range with a halo of light. A creature outside the halo can't enter it if they have ill intent toward a creature within it. The candle burns for an hour."
Iridian Dust,"This multicolored powder sticks to everything and prevents creatures covered in it from becoming Hidden."
Verglasian Seed,"You can use this ice shard to instantly freeze an area of water up to Close range."
Cupbearer's Bezoar,"You can swallow this bezoar to become immune to poisons until your next long rest."
Mossmantle Potion,"You can drink this tea to perfectly blend into natural environments until your next rest."
Lyrebird Lozenge,"You can dissolve this lozenge in your mouth to perfectly mimic any voice you've heard until the end of the scene."
Vial of Featherfall,"You can drink this potion to ignore damage from falling for the next 10 minutes."
Chimeric Saliva,"You can apply this saliva to a weapon that deals physical damage to change its damage type to magic until your next rest."
Packet of Space Dust,"This dust causes anything it covers to become lighter than air. One packet contains enough dust to cover the contents of a picnic basket, and the effects last for an hour."
Pipeweed,"When you choose the Clear Stress downtime move during a short rest, you can smoke this non-intoxicating leaf to clear an additional Stress. Any other PCs who choose the Clear Stress downtiem move also gain this benefit."
Deathseer's Powder,"You can sprinkle this powder over a recently deceased corpse to conjure a spectral reprise of their final minute of life."
Slayer's Salt,"You can spread this salt in a line along windowsills or thresholds to create a magical barrier that undead creatures can't cross until the line is broken."
Yakamel Milk,"After consuming this milk, the next time you clear 1 or more Hit Points, you clear an additional Hit Point."
Glowmoss Mushroom,"You can break this mushroom into pieces, causing it to glow bright blue until your next long rest."
Red Ooze Oil,"You can coat your weapon in this oil. The next successful attack you make with this weapon deals an extra 1d8 magic damage and temporarily Ignites the target. While Ignited, the target takes 1d4 magic damage when they take the spotlight."
Instant Camp,"You can unfold this small mechanical box into a camping tent large enough to safely house six people. The tent collapses at the end of your next long rest."
Bundle of Spiderlegs,"You can eate these spiderlegs to walk on walls until your next rest."
Ciscan Fog Bottal,"You can break this jar to fill the area within Close range with magical mist. A creature who enters the mist clears a Stress and becomes Hidden."
Snapthorn Seed,"You can throw this seed at a point you can see. It explodes into a tangle of binding vines that temporarily Restrains all creatures within Close range of that point."
Sprite Bottle,"When you mark your last Hit Point, this bottle shatters to release the Sprite inside. The Sprite clears all your Hit Points before fading from the Mortal Realm."
Gravity Bomb,"You can throw this peach-sized mechanical orb at a point within Far range. It implodes and pulls all creatures and objects within Close range of that point into Melee range with it."
Gossip Flower,"You can plant this seed in soil. It instantly grows into a small flower that records everything it hears for up to one week. When plucked, the flower recites what it recorded in real time, then withers."
Displacement Token,"You can swallow this token to conjure two illusions of yourself that you can control. Each illusion lasts until it takes damage or until your next rest."
Night Hag's Dust,"You can blow this dust in an adversary's face to prevent them from clearing Stress until your next long rest."
Self-Sewing Thread,"You can use this thread to clear either a Hit Point or 2 Armor Slots."
Stonemason's Fortune,"When you throw this gray brick on the ground, it immediately grows into a 6-foot-tall, 10-foot-wide, and 2-foot-deep wall of solid stone."
Mnemonic Potion,"You can drink this potion to Utilize an Experience without spending a Hope."
Salamander Salve,"You can apply this salve to your skin to make yourself immune to heat until your next rest."
Green Ooze Oil,"You can coat your weapon in this oil. The next successful attack you make with this weapon deals an extra 1d8 magic damage and temporarily Corrodes teh target. While Corroded, the target gains a -2 penalty to their damage thresholds."
Sunlight Orb,"You can shatter this orb to make the area within Very Far range appear as though it's sunlit daytime for the next 24 hours."
Moonlight Orb,"You can shatter this orb to make the area within Very Far range appear as though it's moonlit nighttime for the next 24 hours."
Midas Flask,"You can pour this small falsk of alchemical liquid over a mundane item to instantly transmute it into a handful of gold."
Staff of Reversal,"You can break this staff against the ground to reverse one magical transformation or effect within Far range."
Berserker's Brew,"When you drink this dram of liquid, you gain a bonus to your Strength and a penalty to your Finesse and Knowledge equal to your Instinct (minimum 1). This effect lasts until you make a death move or until your next rest."
Emberite Shard,"Choose a point within Far range. All targets within Close range of that point must succeed on a Reaction Roll (16) or take 3d6 magic damage and become temporarily ablaze. Whle Ablaze, a creature must roll a d4 whenever they make an action roll. On a result of 1, they mark a Hit Point. On a result of 4 hey clear the Ablaze condition."
Arcticite Shard,"Choose a point withint Far range. All targets within Close range of that pont must succeed on a Reaction Roll (16) or take 3d6 magic damage and become temporarily Restrained by ice."
