name,description
Caltrops,"You can spread these caltrops in a Very Close area around you. A creature hastening through that area must mark a Stress."
Grapnel,"You gain advantage on action rolls to climb sheer surfaces."
Ball bearings,"This pouch contains perfectly smooth metal spheres."
Box of Dragon Dust,"This snuffbox is filled with combustible powder."
Nighthawker's Ring,"Spend a Hope to activate the gemstone in this ring until the end of the scene. While active, the gemstone changes color to indicate the wearer's proximity to hidden treasure; warm colors for near, cool colors for far."
Elven Spyglass,"You can use this spyglass to magnify your vision a hundredfold."
Gourmet Granules,"This savory powder makes any food it's sprinkled on delicious and healthy, no matter how bland or rotten it is."
Collapsible Pole,"You can break down this 18-foot pole into six interlinked 3-foot segments."
Blackwing Quill,"This writing quill never runs out of ink or needs to be sharpened."
Silee's Folding Knife,"This 3-inch blade has an edge that easily cuts thorugh anything except the handle it's stored in."
Windup Toy,"This small mechanical device is shaped like a strixwolf pup and can be programmed to perform simple tricks."
Loaded Dice,"You can choose what result thsi set of weighted dice rolls with a successful Finesse Roll (14). If you roll with Fear, anyone watching knows the dice are loaded."
Hollowbark Horn,"You can blow this horn to summon a small woodland creature to perform a simple task."
Self-Tying Rope,"You can command this rope to tie or untie itself."
Thief's Compass,"This compass points the way toward the nearest exit while indoors and the closest entrance while outdoors."
Traveler's Bell,"Once per long rest, you can ring this bell to magically open the shortest safe path through rough terrain for 1 hour."
Mandragorian Torch,"This torch gives off light only the bearer can see."
Boots of Supple Mystique,"While waring these boots, you don't elave tracks or footprints."
Zephyr's Jar,"You can open this empty jar during inclement weather to capture teh storm and leave behind clear skies. The storm remains inside until unleashed by reopening the jar."
Returning Ring,"When you throw your primary weapon while wearing this ring, the weapon appears in your hand immediately after the attack."
Kingfisher's Net,"Once per long rest, you can use this net to scoop one live fish out of any amount of water, no matter how unlikely it is for that water to have fish in it."
Titan's Girdle,"Once per scene, you can activate this girdle to gain a +1 bonus to your proficiency for your next attack."
Iron Veil,"This chain-link head covering renders the wearer invisible to fey creatures."
Furball Bag,"Once per rest, you can produce 2d20 harmless, cat-sized fur creatures of indeterminate origin and species from this bag."
Whisperstep Anklet,"This anklet makes your steps slient as long as you don't move faster than walking speed."
Enchanter's Loupe,"You can use this loupe to see through illusions and enchantments."
Escher's Mirrorball,"Once per long rest, you can command this fist-sized silver orb to capture an omnidirectional image of its surroundings on its surface. This image lasts until your next long rest."
Cheater's Coin,"When you flip this coin, you can spend a Hope to determine which side it lands on."
Gravewarden's Bell,"This bell rings when a ghost or undead creature moves within Far range of it."
Reliquary o fthe Sightless Saint,"You gain a +1 bonus to your Hope Die when you make the Risk It All death move."
Map of Revelation,"You can attune this map to one creature at a time. The map always shows the attuned creature's location."
Dagginae's Obsidian Slate,"This wafer-thin sheet of volcanic glass is used by archivists to keep notes. Any information etched onto its surface disappears but can be recalled via a command you set."
Gadiman's Backpack,"Once per rest, you can spend a Hope to conjure a mundane item up to a cubic foot in size inside this satchel."
