name,weapon_type,damage_type,trait,range,damage,burden,feature
Legendary Broadsword,Primary,Physical,Agility,Melee,d8+9 phy,One-Handed,Reliable: +1 to attack rolls
Legendary Longsword,Primary,Physical,Agility,Melee,d10+12 phy,Two-Handed,:
Legendary Battleaxe,Primary,Physical,Strength,Melee,d10+12 phy,Two-Handed,:
Legendary Greatsword,Primary,Physical,Strength,Melee,d10+12 phy,Two-Handed,"Massive: -1 to Evasion; on a successful attack, roll an additional damage die and discard the lowest result."
Legendary Mace,Primary,Physical,Strength,Melee,d8+10 phy,One-Handed,:
Legendary Warhammer,Primary,Physical,Strength,Melee,d12+12 phy,Two-Handed,Heavy: -1 to Evasion
Legendary Dagger,Primary,Physical,Finesse,Melee,d8+10 phy,One-Handed,:
Legendary Quarterstaff,Primary,Physical,Instinct,Melee,d10+12 phy,Two-Handed,:
Legendary Cutlass,Primary,Physical,Presence,Melee,d8+10 phy,One-Handed,:
Legendary Rapier,Primary,Physical,Presence,Melee,d8+9 phy,One-Handed,"Quick: When you make an attack, you can mark a Stress to target another creature within range."
Legendary Katana,Primary,Physical,Agility,Melee,d10+12 phy,Two-Handed,"Quick When you make an attack, you can mark a Stress to target another creature within range."
Legendary Brass Knuckles,Primary,Physical,Strength,Melee,d8+10 phy,One-Handed,:
Legendary Scimitar,Primary,Physical,Presence,Melee,d8+10 phy,One-Handed,:
Legendary Twisted Dagger,Primary,Physical,Knowledge,Melee,d8+9 phy,One-Handed,Piercing: Damage dealt with this weapon treats the target's Major threshold as having a -2 Penalty.
Legendary Halberd,Primary,Physical,Strength,Very Close,d10+11 phy,Two-Handed,Cumbersome: -1 to Finesse
Legendary Spear,Primary,Physical,Finesse,Very Close,d8+12 phy,Two-Handed,: -1 to Finesse
Legendary Whipsword,Primary,Physical,Finesse,Very Close,d8+9 phy,One-Handed,"Versatile: This weapons can also be used with these statistics - Finesse, Melee, d10+9."
Legendary Rope Dart,Primary,Physical,Instinct,Close,d6+10 phy,Two-Handed,:
Legendary Shortbow,Primary,Physical,Agility,Far,d6+12 phy,Two-Handed,:
Legendary Crossbow,Primary,Physical,Finesse,Far,d6+10 phy,One-Handed,:
Legendary Longbow,Primary,Physical,Agility,Very Far,d8+12 phy,Two-Handed,Cumbersome: -1 to Finesse
